car_plate,owner_name,owner_addr,vechicle_type,registration_date
VLH 462,Chan Jie Liang,"616 Jalan Bukit Jelutong, Kuala Lumpur",SUV,1999-12-29T19:02:43
JC 3021,Muhammad binti Ahmad,"35 Jalan Bukit Mawar, Kuala Lumpur",SUV,1991-07-15T11:09:27
ACT 8,Nur bin Ahmad,"209 Jalan Bukit Mawar, Kuala Lumpur",Sedan,1996-07-30T03:40:36
RR 6,Chan Hua Jie,"711 Jalan Bukit Bintang, Kuala Lumpur",Coupe,2002-08-28T04:15:43
AR 970,Azlan bin Aisyah,"215 Jalan Bukit Mawar, Kuala Lumpur",SUV,2008-06-14T11:36:57
HW 1640,Siti bin Ahmad,"750 Jalan Bukit Melati, Kuala Lumpur",Coupe,1993-06-23T22:23:43
UM 24,Ahmad bin Nur,"278 Jalan Bukit Jelutong, Kuala Lumpur",Sedan,2007-05-04T18:26:27
QJ 5999,Azlan bin Aisyah,"128 Jalan Bukit Melati, Kuala Lumpur",Sedan,2009-06-05T17:01:33
IS 27,Chong Wei Ling,"498 Jalan Bukit Jelutong, Kuala Lumpur",Hatchback,1997-02-23T20:45:11
WEY 279,Ng Xuan Jie,"325 Jalan Bukit Melati, Kuala Lumpur",Truck,1990-03-09T16:09:09
SH 378,Wong Hui Jie,"650 Jalan Bukit Bintang, Kuala Lumpur",Sedan,1995-12-13T22:17:18
YE 50,Tan Hua Yan,"496 Jalan Bukit Jelutong, Kuala Lumpur",Coupe,2007-09-19T05:52:50
IP 5317,Anita a/l Deepa,"68 Jalan Bukit Mawar, Kuala Lumpur",Hatchback,2008-07-04T23:51:25
JVC 2,Devi a/p Priya,"462 Jalan Bukit Jelutong, Kuala Lumpur",Truck,1998-11-22T02:24:17
CFJ 8,Haziq bin Ahmad,"571 Jalan Bukit Melati, Kuala Lumpur",Coupe,1995-05-08T00:56:08
BBW 84,Chong Hua Yan,"102 Jalan Bukit Melati, Kuala Lumpur",Coupe,1993-02-02T13:13:02
HQE 4,Anita a/p Lakshmi,"153 Jalan Bukit Jelutong, Kuala Lumpur",SUV,2003-08-04T22:56:26
ZMR 28,Nur binti Azlan,"663 Jalan Bukit Mawar, Kuala Lumpur",Coupe,1991-02-19T08:14:49
RFX 33,Ahmad bin Nur,"786 Jalan Bukit Melati, Kuala Lumpur",Hatchback,2000-08-31T17:13:35
GAR 753,Farid binti Ahmad,"875 Jalan Bukit Mawar, Kuala Lumpur",SUV,1997-05-13T21:41:43
QM 4075,Muhammad bin Liyana,"289 Jalan Bukit Mawar, Kuala Lumpur",SUV,2006-02-09T11:04:41
OD 1329,Arjun a/l Suresh,"788 Jalan Bukit Jelutong, Kuala Lumpur",Sedan,1991-09-08T01:33:53
YY 8,Devi a/l Devi,"205 Jalan Bukit Bintang, Kuala Lumpur",Hatchback,2007-03-19T18:23:29
RX 76,Chan Jun Xuan,"786 Jalan Bukit Bintang, Kuala Lumpur",Hatchback,1994-06-25T11:42:32
WM 8,Azlan bin Liyana,"985 Jalan Bukit Bintang, Kuala Lumpur",SUV,1997-01-02T22:22:24
YPG 6197,Lakshmi a/l Priya,"647 Jalan Bukit Jelutong, Kuala Lumpur",SUV,2005-11-03T16:29:20
QS 973,Tan Yan Wei,"33 Jalan Bukit Jelutong, Kuala Lumpur",Sedan,1997-09-24T03:11:00
TO 6,Deepa a/p Lakshmi,"261 Jalan Bukit Melati, Kuala Lumpur",Sedan,2009-02-24T06:41:59
VO 5494,Haziq binti Siti,"192 Jalan Bukit Melati, Kuala Lumpur",Truck,2005-03-15T17:25:41
JQ 0536,Lim Jun Jie,"965 Jalan Bukit Melati, Kuala Lumpur",Truck,2006-02-28T02:31:34
HP 4,Priya a/p Lakshmi,"320 Jalan Bukit Bintang, Kuala Lumpur",SUV,1994-03-26T03:14:02
QO 1953,Kumar a/l Mani,"578 Jalan Bukit Mawar, Kuala Lumpur",Coupe,2006-07-31T17:02:55
WBC 7,Chan Ling Jun,"650 Jalan Bukit Melati, Kuala Lumpur",SUV,1993-11-01T21:20:48
CBO 86,Ng Hua Wei,"700 Jalan Bukit Melati, Kuala Lumpur",Coupe,2003-02-08T17:56:30
GX 7,Haziq binti Farid,"648 Jalan Bukit Jelutong, Kuala Lumpur",Sedan,1994-04-19T10:31:52
QYK 3,Mani a/l Mani,"874 Jalan Bukit Bintang, Kuala Lumpur",SUV,2003-09-26T01:40:44
RW 817,Goh Liang Hua,"749 Jalan Bukit Mawar, Kuala Lumpur",Truck,2005-10-23T20:44:52
WE 7,Wong Yan Hui,"83 Jalan Bukit Mawar, Kuala Lumpur",SUV,2006-12-18T01:46:00
GPJ 7,Farid binti Nurul,"945 Jalan Bukit Jelutong, Kuala Lumpur",SUV,2004-11-29T18:15:39
BXM 99,Aisyah binti Nur,"967 Jalan Bukit Jelutong, Kuala Lumpur",SUV,2009-12-03T08:22:30
US 630,Ng Xuan Yan,"677 Jalan Bukit Mawar, Kuala Lumpur",SUV,1996-06-21T06:22:23
SZ 41,Liyana bin Siti,"680 Jalan Bukit Melati, Kuala Lumpur",Truck,1996-02-29T23:22:09
SA 8,Muhammad binti Haziq,"993 Jalan Bukit Jelutong, Kuala Lumpur",SUV,2009-07-01T18:07:57
OW 78,Siti binti Ahmad,"936 Jalan Bukit Jelutong, Kuala Lumpur",Hatchback,1997-09-01T14:23:25
AXE 0,Lee Mei Jun,"712 Jalan Bukit Melati, Kuala Lumpur",Sedan,1999-04-05T21:20:12
TL 4,Priya a/l Mani,"866 Jalan Bukit Melati, Kuala Lumpur",Coupe,1997-05-12T09:12:54
RDE 5833,Lim Hua Yan,"429 Jalan Bukit Mawar, Kuala Lumpur",Coupe,1992-09-09T20:45:11
AYU 2,Deepa a/l Raj,"564 Jalan Bukit Melati, Kuala Lumpur",Truck,2004-12-04T05:58:41
JIN 5,Ng Ling Mei,"743 Jalan Bukit Jelutong, Kuala Lumpur",Hatchback,1992-12-02T03:55:46
OHW 372,Devi a/l Suresh,"821 Jalan Bukit Mawar, Kuala Lumpur",Hatchback,2010-04-30T16:37:40
WY 3008,Nurul binti Aisyah,"401 Jalan Bukit Jelutong, Kuala Lumpur",Truck,1995-02-26T18:34:10
OC 3,Farid bin Haziq,"386 Jalan Bukit Jelutong, Kuala Lumpur",SUV,2000-04-01T21:39:05
HY 30,Priya a/p Deepa,"541 Jalan Bukit Bintang, Kuala Lumpur",Sedan,1998-11-03T23:27:06
XTF 8,Farid binti Muhammad,"439 Jalan Bukit Mawar, Kuala Lumpur",Coupe,1998-03-05T11:40:14
IRG 795,Lee Jie Xuan,"149 Jalan Bukit Jelutong, Kuala Lumpur",Coupe,1997-04-17T01:25:01
WML 156,Nur binti Muhammad,"13 Jalan Bukit Bintang, Kuala Lumpur",Sedan,2007-04-02T20:03:03
UH 1,Azlan bin Haziq,"680 Jalan Bukit Mawar, Kuala Lumpur",SUV,2007-10-17T16:25:09
JQ 48,Nur bin Ahmad,"134 Jalan Bukit Melati, Kuala Lumpur",Sedan,2007-08-26T23:28:51
MD 10,Suresh a/l Kumar,"812 Jalan Bukit Jelutong, Kuala Lumpur",Coupe,1998-10-02T10:08:43
KMJ 068,Wong Hua Xuan,"754 Jalan Bukit Melati, Kuala Lumpur",Truck,2007-10-09T07:18:03
BXH 8,Liyana binti Ahmad,"135 Jalan Bukit Jelutong, Kuala Lumpur",Hatchback,1995-02-23T00:51:43
GX 326,Nur bin Nurul,"436 Jalan Bukit Bintang, Kuala Lumpur",Truck,2000-07-11T22:59:58
ODZ 4,Chong Hua Hui,"344 Jalan Bukit Mawar, Kuala Lumpur",Hatchback,1993-12-06T15:00:22
VD 903,Suresh a/p Suresh,"144 Jalan Bukit Bintang, Kuala Lumpur",Truck,2010-02-28T19:20:02
ZDR 72,Tan Mei Hua,"934 Jalan Bukit Mawar, Kuala Lumpur",Sedan,2005-07-12T19:13:57
XWU 72,Nur binti Siti,"879 Jalan Bukit Jelutong, Kuala Lumpur",Hatchback,1990-05-07T23:03:19
PQY 9,Devi a/p Lakshmi,"1 Jalan Bukit Jelutong, Kuala Lumpur",Hatchback,2003-02-22T16:12:19
KC 82,Goh Hui Mei,"275 Jalan Bukit Jelutong, Kuala Lumpur",Hatchback,1990-02-07T04:49:58
NQG 93,Anita a/p Suresh,"599 Jalan Bukit Jelutong, Kuala Lumpur",Coupe,2003-07-19T12:14:26
IKB 3,Wong Hua Ling,"189 Jalan Bukit Jelutong, Kuala Lumpur",SUV,2006-07-28T09:37:05
QBM 43,Devi a/p Deepa,"309 Jalan Bukit Melati, Kuala Lumpur",Hatchback,2002-11-14T16:43:20
QN 296,Goh Liang Hua,"519 Jalan Bukit Melati, Kuala Lumpur",Truck,2002-12-13T13:59:14
HHC 65,Aisyah binti Haziq,"148 Jalan Bukit Bintang, Kuala Lumpur",Hatchback,1991-04-10T12:29:36
HL 9,Deepa a/l Mani,"248 Jalan Bukit Jelutong, Kuala Lumpur",Sedan,2002-10-09T01:16:44
ARM 207,Farid bin Ahmad,"42 Jalan Bukit Melati, Kuala Lumpur",Sedan,2007-11-18T17:55:42
BTC 8910,Devi a/l Priya,"211 Jalan Bukit Melati, Kuala Lumpur",Sedan,2008-04-30T07:59:16
SS 4088,Siti bin Liyana,"272 Jalan Bukit Jelutong, Kuala Lumpur",Coupe,1999-05-20T15:05:27
CL 6,Ahmad bin Haziq,"150 Jalan Bukit Mawar, Kuala Lumpur",Truck,1997-05-21T11:50:52
UMT 0,Lee Xuan Jun,"56 Jalan Bukit Jelutong, Kuala Lumpur",SUV,2002-06-28T01:43:09
QL 9913,Priya a/l Suresh,"75 Jalan Bukit Jelutong, Kuala Lumpur",SUV,2010-12-21T15:40:35
VTS 87,Foo Jie Mei,"692 Jalan Bukit Melati, Kuala Lumpur",Sedan,2003-11-02T15:38:09
DJ 7805,Mani a/l Deepa,"527 Jalan Bukit Mawar, Kuala Lumpur",Coupe,2002-03-05T02:11:39
MC 533,Azlan bin Ahmad,"617 Jalan Bukit Melati, Kuala Lumpur",Coupe,1993-12-17T22:23:02
GBL 977,Azlan binti Muhammad,"141 Jalan Bukit Melati, Kuala Lumpur",Truck,2003-09-18T00:57:27
EIF 9,Muhammad bin Liyana,"774 Jalan Bukit Bintang, Kuala Lumpur",Coupe,1998-12-21T02:52:01
YNC 0,Teoh Hui Xuan,"385 Jalan Bukit Jelutong, Kuala Lumpur",Hatchback,2003-03-20T16:39:46
HF 196,Priya a/l Lakshmi,"996 Jalan Bukit Mawar, Kuala Lumpur",Truck,2007-05-25T21:11:15
COE 49,Priya a/l Suresh,"468 Jalan Bukit Jelutong, Kuala Lumpur",Hatchback,2003-04-08T05:14:57
GJB 588,Lee Hua Jie,"371 Jalan Bukit Bintang, Kuala Lumpur",Hatchback,2005-09-25T09:50:23
VZH 493,Chong Yan Jie,"328 Jalan Bukit Bintang, Kuala Lumpur",Truck,2008-10-13T01:47:54
CO 5,Ng Yan Jun,"26 Jalan Bukit Mawar, Kuala Lumpur",Truck,2010-02-19T06:58:44
NK 502,Goh Liang Hui,"99 Jalan Bukit Mawar, Kuala Lumpur",Sedan,1999-03-07T00:57:19
RYQ 47,Siti binti Azlan,"545 Jalan Bukit Mawar, Kuala Lumpur",Sedan,2008-04-06T01:41:13
TBK 7477,Priya a/l Anita,"110 Jalan Bukit Bintang, Kuala Lumpur",Coupe,2010-10-24T04:59:24
